"","","","","","perc"
"1","FT00001",295665,10225802,"FT",0.0289136245743855
"2","FT00002",286268,12107625,"FT",0.0236436130124612
"3","FT00003",168783,8561643,"FT",0.0197138563240724
"4","FT00004",200325,9259340,"FT",0.0216349113435731
"5","FT00005",889567,19691259,"FT",0.0451757300028403
"6","FT00006",327821,11384952,"FT",0.0287942364623057
"7","FT00007",407753,15125611,"FT",0.0269577870275786
"8","FT00008",306751,15299113,"FT",0.0200502473574775
"9","FT00009",569062,14787200,"FT",0.0384834180913222
"10","FT00010",329081,17100315,"FT",0.0192441484265056
"11","FT00011",191610,11256696,"FT",0.0170218685838189
"12","FT00012",491083,17398996,"FT",0.028224789522338
"13","FT00013",315481,16166989,"FT",0.0195138995888474
"14","FT00014",411303,15182648,"FT",0.0270903336493081
"15","FT00015",337336,11174262,"FT",0.0301886603338995
"16","FT00016",232383,9882664,"FT",0.0235142062909353
"17","FT00017",325981,12041548,"FT",0.027071353284478
"18","FT00018",349350,15335684,"FT",0.0227802033479563
"19","FT00019",233786,11615999,"FT",0.0201262069667878
"20","FT00020",267818,11794545,"FT",0.0227069378259187
"21","FT00021",365726,13469801,"FT",0.0271515518306469
"22","FT00022",173510,7928169,"FT",0.0218852549687071
"23","FT00023",221621,11373719,"FT",0.019485359186384
"24","FT00024",399628,12544594,"FT",0.0318565909745664
"25","FT00025",142867,7094627,"FT",0.020137351829772
"26","FT00026",216941,16575602,"FT",0.0130879711035533
"27","FT00027",300308,10955177,"FT",0.0274124279324743
"28","FT00028",327963,14169649,"FT",0.0231454568846413
"29","FT00030",319516,13133792,"FT",0.0243277798216996
"30","FT00032",376188,14723298,"FT",0.0255505254325491
"31","FT00033",284342,12822266,"FT",0.0221756435250992
"32","FT00034",309022,10987795,"FT",0.0281241140738428
"33","FT00035",315180,14638208,"FT",0.0215313240527802
"34","FT00036",207045,14047009,"FT",0.0147394367014359
"36","FT00038",402015,16987099,"FT",0.0236659008109625
"37","FT00039",354473,15628988,"FT",0.0226804832149081
"38","FT00040",271348,11944379,"FT",0.0227176314482318
"39","FT00041",196597,10305100,"FT",0.0190776411679654
"40","FT00042",223866,13568177,"FT",0.0164993425424801
"41","FT00043",213697,9129085,"FT",0.0234083700611836
"42","FT00044",515552,16820398,"FT",0.0306504043483394
"43","FT00045",403816,12040739,"FT",0.0335374763957594
"44","FT00046",175034,8407457,"FT",0.0208188992224403
"45","FT00047",580245,14262978,"FT",0.0406818968661383
"46","FT00048",314800,12279680,"FT",0.0256358471882003
"47","FT00049",347872,12508036,"FT",0.0278118802983938
"48","FT00050",602469,16202608,"FT",0.0371834583667024
"49","FT00051",172472,6837981,"FT",0.0252226497850754
"50","FT00052",161792,10375639,"FT",0.0155934492323798
"51","FT00053",331690,11017978,"FT",0.0301044347701547
"52","FT00054",258654,14081057,"FT",0.0183689335253738
"53","FT00055",211350,12573887,"FT",0.016808644773092
"54","FT00056",251831,12654685,"FT",0.0199002187727312
"55","FT00057",240456,13105522,"FT",0.018347685807555
"56","FT00058",323008,11949034,"FT",0.0270321433515044
"57","FT00059",181112,9802760,"FT",0.0184756129906271
"58","FT00062",224944,9710371,"FT",0.023165335289455
"59","FT00063",842558,13764819,"FT",0.0612109756038201
"60","FT00064",355912,15108448,"FT",0.0235571516015411
"61","FT00065",331952,15245156,"FT",0.0217742606241615
"62","FT00066",253317,10866633,"FT",0.0233114525906967
"63","FT00068",289840,9627206,"FT",0.0301063465350175
"64","FT00069A",244703,12374941,"FT",0.0197740740743734
"65","FT00069B",475647,15201537,"FT",0.0312894018545625
"66","FT00070A",241955,11996662,"FT",0.0201685268785601
"67","FT00070B",297327,14888191,"FT",0.0199706599680243
"68","FT00071A",325747,14870611,"FT",0.0219054213710519
"69","FT00071B",506392,17869323,"FT",0.0283386225656115
"70","FT00072",311768,13186743,"FT",0.0236425325040459
"71","FT00073",166759,9838209,"FT",0.0169501379773493
"72","FT00074",287756,10734481,"FT",0.026806698898624
"73","FT00075",372005,19345027,"FT",0.0192300067609107
"74","FT00076",272994,11713758,"FT",0.0233054157342161
"75","FT00077",395933,12369253,"FT",0.0320094511770436
"76","FT00078",331033,12587396,"FT",0.0262987674337091
"77","FT00079",360939,13581145,"FT",0.0265764779037408
"78","FT00081",332595,17387648,"FT",0.0191282340199203
"79","FT00083",322032,16754770,"FT",0.0192203175573285
"80","FT00084",247598,11780574,"FT",0.0210174818306816
"81","FT00085",247974,12184963,"FT",0.0203508209257591
"82","FT00086",252306,13896263,"FT",0.0181563921177945
"83","FT00087",249154,21076367,"FT",0.0118214870712775
"84","FT00088",188563,9741725,"FT",0.0193562228455433
"85","FT00089",293064,16329402,"FT",0.0179470136138482
"86","FT00090",329679,15437352,"FT",0.0213559294366029
"87","FT00091",237559,10234854,"FT",0.0232107854200949
"88","FT00092",501384,12347969,"FT",0.0406045722984889
"89","FT00093",190902,12368143,"FT",0.0154349767786482
"90","FT00094",213275,13068941,"FT",0.0163192258653551
"91","FT00095",201082,7635803,"FT",0.0263341000285104
"92","FT00096",310512,13154112,"FT",0.0236056983550087
"93","FT00097",437371,19628025,"FT",0.0222829856799143
"94","FT00098",184017,10862757,"FT",0.0169401745799892
"95","FT00099",345589,17505618,"FT",0.0197416052378157
"96","FT00100",209294,10423625,"FT",0.0200788113540155
"97","FT00101",402042,15730892,"FT",0.0255574826907463
"98","FT00102",204729,12008533,"FT",0.0170486270054802
"99","FT00103",295293,15109135,"FT",0.0195440043390968
"100","FT00104",295412,14990277,"FT",0.019706907350678
"101","FT00105",250407,14646168,"FT",0.017097100074231
"102","FT00106",460730,15681420,"FT",0.0293806300704911
"103","FT00107",489291,17813061,"FT",0.027468103320367
"104","FT00109",416069,17499781,"FT",0.0237756689640859
"105","FT00110",479099,18778313,"FT",0.02551342072102
"106","FT00113",8082562,13287483,"FT",0.608283901473289
"107","FT00114",248299,12242734,"FT",0.0202813358519429
"108","FT00115",231092,9317471,"FT",0.0248020090430118
"109","FT00116",361381,20823444,"FT",0.0173545259852309
"110","FT00118",283916,15504549,"FT",0.0183117870761671
"111","FT00119",357844,16161025,"FT",0.0221424074277467
"112","FT00120",357352,17551278,"FT",0.0203604546631875
"113","FT00121",721747,18586546,"FT",0.0388316904065984
"114","FT00122",334625,14841881,"FT",0.0225459966967799
"115","FT00123",184715,10263401,"FT",0.0179974454861503
"116","FT00124",321299,12455431,"FT",0.0257958957823298
"117","FT00125",306017,17008163,"FT",0.0179923604918415
"118","FT00126",366802,16068893,"FT",0.0228268369202533
"119","FT00127",412273,16346428,"FT",0.0252209840584133
"120","FT00128",227658,14206318,"FT",0.0160251234697126
"121","FT00129",373430,18535784,"FT",0.0201464367517446
"122","FT00130",275200,13609302,"FT",0.0202214632315456
"123","FT00131",195768,11213386,"FT",0.0174584197850676
"124","FT00132",433130,15588138,"FT",0.0277858715389869
"125","FT00133",84221,168163,"FT",0.500829552279633
"126","FT00134",535656,21102489,"FT",0.0253835459883429
"127","FT00135",337281,16568686,"FT",0.0203565327992817
"128","FT00136",147657,8906907,"FT",0.016577808660178
"129","FT00137",280876,13710408,"FT",0.0204863341776554
"130","FT00138",134488,7876745,"FT",0.0170740578754295
"131","FT00139",296106,13031731,"FT",0.0227219238948379
"132","FT00140",801396,17492160,"FT",0.045814582075627
"133","FT00141",130340,6754610,"FT",0.0192964508683699
"134","FT00143",354855,14771221,"FT",0.0240234033462772
"135","FT00144",335828,16585813,"FT",0.0202479070516471
"136","FT00145",473959,5507823,"FT",0.0860519664484498
"137","FT00146",537932,19214311,"FT",0.0279964241236649
"138","FT00147",483934,14710611,"FT",0.032896934056648
"139","FT00148",308388,13790167,"FT",0.0223628908917492
"140","FT00149",305989,17479626,"FT",0.01750546607805
"141","FT00150",272521,11440452,"FT",0.0238208245618268
"142","FT00151",397642,16972410,"FT",0.0234287293318981
"143","FT00152",317907,15680179,"FT",0.0202744496730554
"144","FT00153",326648,15579872,"FT",0.0209660259083001
"145","FT00155",263636,12499509,"FT",0.0210917084823092
"146","FT00157",263894,12685784,"FT",0.0208023406357857
"147","FT00158",417035,15460260,"FT",0.0269746433759846
"148","FT00159",156863,11789122,"FT",0.0133057406649961
"149","FT00160",191450,7112709,"FT",0.0269166080040671
"150","FT00161",498764,11863908,"FT",0.0420404473804079
"151","FT00163",236120,12325709,"FT",0.0191567073342394
"152","FT00164",239539,11543802,"FT",0.0207504425318452
"153","FT00165",296472,12959527,"FT",0.0228767608570899
"154","FT00166",400840,18056750,"FT",0.0221989006881083
"155","FT00167",407450,18391102,"FT",0.0221547354802339
"156","FT00168",364545,17383490,"FT",0.0209707601868209
"157","FT00169",281098,10134176,"FT",0.0277376276078095
"158","FT00170",262583,12793683,"FT",0.0205244259999251
"159","FT00171",417359,16596083,"FT",0.0251480424627908
"160","FT00173",342612,15404893,"FT",0.0222404660649055
"161","FT00174",345911,15765106,"FT",0.0219415587817805
"162","FT00175",501160,18019718,"FT",0.0278117559886342
"163","FT00176",400945,14997347,"FT",0.0267343950900116
"164","FT00177",1667902,19026713,"FT",0.0876610689402841
"165","FT00178",800025,15801037,"FT",0.0506311705997524
"166","FT00179",430363,14500604,"FT",0.0296789706139137
"167","FT00180",431634,17625982,"FT",0.0244885079310758
"168","FT00181",215012,11101569,"FT",0.0193677127980739
"169","FT00182",419836,17412788,"FT",0.0241107857053104
