"","sample_type_stool","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","sample_type_swab","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","sample_type_tissue","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",16.1147607907795,0.0160342022617294,0.448574825784495,0.423727686902314,0.202331001377764,-1.12800167921092,-0.449335140025572,0.499200225870109,-0.398962554589581,8.64579005236198,-0.946110946639796,0.113130192004066,0.126408401291918,0.561787241139279,-0.525788989958598,-0.688364333214051,-1.0162196417831,0.169003095730909,0.00849512101463754,5.83438226051595,-27.5687673857583,0.238332279945785,0.0282270863013454,0.0807805666710756,-0.346657860066959,-1.24270158993353,-0.70158953948115,0.477771945035875,-0.110584685378083,19.6145991325798
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",-4.89449172335115,0.546191767171509,0.502188676780484,0.391152881438471,0.225917942236542,-0.0860822290242568,-0.11747198291632,-0.0285815221386272,-0.264653075388368,5.42263579151208,-2.26979055162749,2.22280642776207,0.0503211496409115,0.356722456419835,-0.694351778433236,-0.210462425256034,0.826531799862755,-0.077182483282798,-0.671738845151816,5.94289810864295,1.04300095192273,1.13082070836394,0.482417868810935,1.07639184914363,-0.347570103085085,-0.598126393835589,0.509360557978331,0.00501505857580361,-0.389344755071807,5.77836730821156
"AEROBACTINSYN-PWY: aerobactin biosynthesis",-0.676444156946743,-0.235760576143694,-0.155904512634386,0.1454797805506,-0.0135373385662961,0.856922457427766,0.144803228899648,-0.195732179903644,0.478453622247414,30.052190496294,2.35951234412129,0.202973036879599,-0.488819863591758,0.194032897400561,0.0587734983730072,0.545038944589212,0.460461639114546,-0.0798713727465848,0.0472394279452827,23.4859266797941,3.86843368699393,0.271166104781278,0.0122887529368548,0.38155207830584,-0.157489575217934,0.405860145384668,0.472364401682614,-0.08239652004991,-0.275975281353923,22.8968368394371
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",-20.6930137816858,-0.22854697701238,-0.984519400103819,0.140451249782861,0.397631082753621,-0.38504890309926,0.406500192055512,-0.318416850806958,0.640353021454956,7.18517316187641,-14.205126576528,0.0621586388029971,-0.0479258903786322,-0.0305117075389526,0.16159440269349,0.263103290172998,0.542991536487428,-0.471460278553445,0.089799438188131,5.85182179881053,1.66789062303412,-0.0859452986169426,-0.917872416128749,0.138437668944611,0.286292708621891,-0.00153572171926736,0.466703760538987,-0.386163427512755,0.692007753659529,34.0656897390534
"ANAEROFRUCAT-PWY: homolactic fermentation",-13.9139378295058,-0.201570003126405,-0.833556357845741,-0.938116395861075,0.490861710940297,-0.217322099268673,-0.338508811385625,0.796904002857272,1.91149476908812,0.721119427963288,-15.4101329854007,0.199925634520188,-0.150374925924105,-0.50194990633447,0.513660221523152,-0.0117598923226402,-0.330985927387021,0.10752715504963,0.302596812405932,1.55766717482538,-0.87994896546536,-1.19571842019376,-0.0084221389730031,-0.271899469850513,-0.0509544165021319,-0.384507969164585,-0.0370846793030721,-0.12695385639539,0.318318174074441,21.8085055863871
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",6.94015548735394,-0.17597585411171,0.471711401074652,-0.0414777110786156,0.0432013275798466,0.0489329431530605,-1.6053584385383,-0.244940576253568,-0.0131337246432349,2.39836905228047,5.5394299433295,-0.127090242042542,1.43180389684294,0.029201890490908,-0.121850136009289,0.0076861250867338,-1.05233845866376,-1.06313175408447,-0.55525245417023,2.89347789834196,-0.258421579983249,-0.446674405981069,0.407700239986303,-0.578578378604738,0.120538672851281,0.238143389606089,-0.230566947860566,-1.03072797990879,-0.387236849733541,28.7159709285731
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",-31.1146890591903,0.117598863701859,-0.00888391956587876,-0.371273745837272,0.163380806842165,1.24202400308357,0.384620347392576,0.0637230885462936,0.450039865457275,7.61318854156038,-10.734816687018,0.245999722345289,-0.21754248229684,-0.177390544530351,1.05882934223571,0.606522718377968,0.447014155759315,0.61783330798748,0.0305001951553874,5.50020745629123,9.63338123280625,-0.375495167331446,-0.657340684379809,0.00981151661510814,0.447886625841761,1.61670520650858,0.909662215412659,0.0742807218965369,0.867377953060008,25.5829017046279
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-10.6737979743068,-0.150638201621374,-0.136078493814759,0.258345446125362,-0.099772033528816,-0.0361731139920973,0.933538073761315,-0.590889808911765,0.0325113318129005,10.809809306485,-4.73490849588097,0.540613323138541,-0.0263662498319184,0.12778930924276,-0.588069754407693,0.0828730772578979,2.0189061207617,-0.610410743015802,-0.231615314606606,12.2045986712354,2.71887250390918,-0.0753698230429439,-0.356095319785563,0.27037943521648,-0.40738965374714,-0.00861823431331553,1.88261553333573,-0.672680975677354,0.0914830092775197,31.7593567878383
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",31.6617084765428,0.297102364633153,-0.070941097194125,-0.186135327609782,-0.0163581442897169,-0.146230773802503,0.295244299826103,-0.159014634708783,-0.169397178166262,13.4735873369123,7.85820203774678,0.864490657307089,0.0581408015385705,-0.0510878490093706,-0.745261639491839,-0.00781923258795906,0.233301523603473,-0.670312222279562,-0.217472550559943,11.7295689978313,-9.83031539106691,0.775869824452603,0.35800998920594,-0.0455034408073072,-0.230536379513211,-0.572985024245082,-0.159902144255155,-0.406888606522776,-0.837028184355589,29.8634268749551
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",-25.3525269986683,-0.350610201702032,-0.630627897118171,0.777668248296682,0.687483564976718,1.04403416412703,0.260046127823795,1.06384947605834,0.831896718162314,1.89546411291498,-16.7043088713174,-0.520920769267462,-0.275116317637717,0.133021205219156,1.32619347812064,0.58482191407168,0.696985839927965,0.0334773009610536,0.465659452843809,0.668967719416595,4.46343706510919,-0.646203396927115,-0.910027114191711,0.64712370582193,1.70738076714254,1.34481602559054,0.407027825100504,0.770601888364698,1.17392590614024,6.58919326355067
