"","treatment_stool","visit_stool","antibiotics_stool","age_stool","sex_stool","NSAIDS_use_stool","BMI_stool","interaction_stool","subject_stool","treatment_swab","visit_swab","antibiotics_swab","age_swab","sex_swab","NSAIDS_use_swab","BMI_swab","interaction_swab","subject_swab","treatment_tissue","visit_tissue","antibiotics_tissue","age_tissue","sex_tissue","NSAIDS_use_tissue","BMI_tissue","interaction_tissue","subject_tissue"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",0.232040672433957,-0.172464619376135,0.108101230670169,-0.959668102095888,-0.531572635533501,-0.798214522994702,0.0613771292084026,0.219607696451392,10.090892270163,0.0615511127544353,0.27140075068929,-0.0592260633388418,0.329618701556211,-1.51380918497691,-0.237375693132495,0.761146190517407,-0.553521044585024,8.04100976979457,-0.0224257173115475,0.32720475252362,0.80617134050392,0.040757299694022,-0.39813941638082,-0.441550228967847,0.147774864855972,-0.136548814583541,1.17629190306208
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation",1.82043274229172,0.0693477821296609,0.763565485686371,-1.12903210735155,-0.5559933266231,1.25559391755858,-0.0315101652480176,-0.569721326943663,6.27096128855149,0.17323099926152,0.537908765715754,0.828700710144958,0.209993826805392,-0.34635987562569,-0.109194970512402,0.0289264657366725,-0.0914776742468098,0.18385966421401,1.01570726501437,-9.64327466553287e-17,-0.28930418396004,0.193435059476739,0.414228880538104,-0.0752351878774213,-0.159439767869937,-0.352782580971413,0.124416645399087
"AEROBACTINSYN-PWY: aerobactin biosynthesis",0.910149551949985,-0.153346089885336,0.448288347896182,-0.104530345207304,0.0850899432931181,0.830875608347797,0.018424545973772,-0.668735524668536,5.79279354232213,-0.0995377762264434,0.135639976702118,0.266628230934223,-0.166571135932786,0.567560455066801,0.140239490509652,-0.162076499187106,0.050120307482036,9.97344376852605,-0.34167381921116,-0.515635251093856,-0.00803032682838599,0.248571317821515,0.890689281522701,0.111761678115359,-0.196177430440282,0.78099541002902,8.3839983164042
"ALL-CHORISMATE-PWY: superpathway of chorismate metabolism",0.061941974384617,-0.0600585601984414,-0.00824017837440089,0.119305137064218,0.304227143801754,0.490273457937642,-0.427011671384766,0.117393222875214,10.1864209330073,-0.271287314118454,-1.38805598355847,0.189057841605695,0.323807471275722,-0.354758256181633,0.335148954256273,-0.269548818012929,0.884917161893895,12.3397273746449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.177498715846056,0.851516196799603,-0.00570068272375158,-0.0631683087222858,-0.151940924143246,-0.0583158891938566,-0.687585942193808,-1.30218146263166,10.3708478593391,-2.2378726317701,-0.891565979462963,-0.580930717497693,-0.090480007757436,-0.768544412181392,-0.0301424214432673,0.462879280794922,2.61425191285902,5.12875283432067,0.337947320774311,-0.526414891283315,-0.620909517612338,0.666494871845868,0.0350350514458831,-0.359327363290056,0.551230850686383,0.979382854774329,0.825579581610871
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",-0.308211478071687,1.36995376752042,-0.31609517422481,-0.0558217002357888,0.0755137310134963,-0.0667332057972989,-1.71601583839019,-1.18987234358474,11.7637002384185,-0.447150019424337,-0.356257443529538,-0.592702121259763,0.313415831885113,0.278153926637882,-0.479557356212387,-0.187898806778415,0.286898109501075,7.06557563124906,0.00337841948996631,0.796510492013354,0.274565974694345,-0.125062539040113,-0.0901535235705128,-1.63921041390412,-0.167226421379452,-0.13493897754743,0.000315257005937927
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",-0.181070136893141,-0.76598413786679,0.201662748433001,1.04825128590494,0.678573761879047,0.761908995360497,0.448003387705773,0.157321604906936,9.08010903860142,-0.410304935032582,-0.198788720574812,-0.0732795577033393,-0.103088856326795,1.89647004601028,0.696718838757077,-0.247778278305592,1.17782152091996,9.57393425852603,0.698339728912188,0.130142766858954,-0.543552799783201,0.376376277159675,0.158684202819713,-0.00934107143140866,0.426182042069942,-0.0590118982694991,1.39345267585957
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",0.320486854387025,-0.16954237218001,0.185627807819099,-0.782225101829035,0.0591481630473842,2.33486631390124,-0.599494049444936,-0.0877996231940946,10.3235073516668,-0.456043438109148,-0.31111583186528,0.312653684947462,-0.107870971465939,-0.0682595651377735,0.942141150458325,-0.570891408460821,0.209425051782013,10.1425485983511,0.611926919244089,0.233087446158155,0.00381485021465952,0.0376187230606891,0.0636001099935695,0.291524015808933,-0.26072861112797,-0.386634332341558,3.30939248697988
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",1.02837307123431,0.413929622260261,0.0119926295188007,-0.607487635509199,-0.245146437841896,-0.146583312962941,-0.759562590010958,-0.635989520937989,15.2633495807229,0.149149491696961,0.126907344050331,-0.147406668600145,0.309371025535198,-0.845617537347131,-0.125413267176126,0.0121192944435731,-0.611547367298356,12.79043978919,0.279381709024772,-0.160390225809341,-0.146634472451765,-0.25754575187576,0.280294115106131,0.660070916254545,-0.268767684246112,0.0593149732690198,1.40017466832124
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",-0.529033582457507,-0.341043540651879,0.143383763955293,1.60128551181004,0.713640280490999,0.500347757935954,0.0785096236989757,0.476229952803961,0.667795635555841,-0.391677966844702,-0.784758364783788,0.795075176157202,0.829183704175062,1.13912137064094,0.174036951394467,1.10283972485459,0.948168236997457,3.16719262130542,0.262265491111832,0.342122203322136,-0.0348965788578055,-2.1244763089312,-0.557621651898089,1.64422079797245,-0.00705277347847815,0.0846224495921021,0.000228763079142066
